Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,United States of America,Paseo,2327.0,10,7,16289,15474.55,11635,3839.5499999999993,2014-05-01
Small Business,United States of America,Paseo,991.0,10,300,297300,282435.0,247750,34685.0,2014-06-01
Government,United States of America,Paseo,602.0,10,350,210700,200165.0,156520,43645.0,2014-06-01
Midmarket,France,Paseo,2620.0,10,15,39300,37335.0,26200,11135.0,2014-09-01
Government,Canada,Paseo,1228.0,10,350,429800,408310.0,319280,89030.0,2013-10-01
Government,Canada,Paseo,1389.0,10,20,27780,26391.0,13890,12501.0,2013-10-01
Enterprise,United States of America,Paseo,861.0,10,125,107625,102243.75,103320,-1076.25,2014-10-01
Enterprise,France,Paseo,704.0,10,125,88000,83600.0,84480,-880.0,2013-10-01
Government,Canada,Paseo,1802.0,10,20,36040,34238.0,18020,16218.0,2013-12-01
Government,United States of America,Paseo,2663.0,10,20,53260,50597.0,26630,23967.0,2014-12-01
Government,France,Paseo,2136.0,10,7,14952,14204.4,10680,3524.3999999999996,2013-12-01
Midmarket,Germany,Velo,2116.0,10,15,31740,30153.0,21160,8993.0,2013-12-01
Midmarket,United States of America,Velo,555.0,120,15,8325,7908.75,5550,2358.75,2014-01-01
Midmarket,Mexico,Velo,2861.0,120,15,42915,40769.25,28610,12159.25,2014-01-01
Enterprise,Germany,Velo,807.0,120,125,100875,95831.25,96840,-1008.75,2014-02-01
Government,United States of America,Velo,602.0,120,350,210700,200165.0,156520,43645.0,2014-06-01
Government,United States of America,Velo,2832.0,120,20,56640,53808.0,28320,25488.0,2014-08-01
Government,France,Velo,1579.0,120,20,31580,30001.0,15790,14211.0,2014-08-01
Enterprise,United States of America,Velo,861.0,120,125,107625,102243.75,103320,-1076.25,2014-10-01
Enterprise,France,Velo,704.0,120,125,88000,83600.0,84480,-880.0,2013-10-01
Government,France,Velo,1033.0,120,20,20660,19627.0,10330,9297.0,2013-12-01
Small Business,Germany,VTT,1250.0,120,300,375000,356250.0,312500,43750.0,2014-12-01
Government,Canada,VTT,1389.0,250,20,27780,26391.0,13890,12501.0,2013-10-01
Government,United States of America,VTT,1265.0,250,20,25300,24035.0,12650,11385.0,2013-11-01
Government,Germany,VTT,2297.0,250,20,45940,43643.0,22970,20673.0,2013-11-01
Government,United States of America,VTT,2663.0,250,20,53260,50597.0,26630,23967.0,2014-12-01
Government,United States of America,VTT,570.0,250,7,3990,3790.5,2850,940.5,2014-12-01
