Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Enterprise,Germany,Amarilla,994.0,260,125,124250,115552.5,119280.0,-3727.5,2013-09-01
Government,Canada,Amarilla,1118.0,260,20,22360,20794.8,11180.0,9614.8,2014-11-01
Small Business,United States of America,Montana,1372.0,260,300,411600,382788.0,343000.0,39788.0,2014-12-01
Government,Canada,Montana,488.0,5,7,3416,3142.7200000000003,2440.0,702.7200000000003,2014-02-01
Government,United States of America,Paseo,1282.0,5,20,25640,23588.8,12820.0,10768.8,2014-06-01
Government,Canada,Amarilla,257.0,10,7,1799,1655.08,1285.0,370.0799999999999,2014-05-01
Government,United States of America,Carretera,1282.0,260,20,25640,23588.8,12820.0,10768.8,2014-06-01
Enterprise,Mexico,Carretera,1540.0,3,125,192500,177100.0,184800.0,-7700.0,2014-08-01
Midmarket,France,Carretera,490.0,3,15,7350,6762.0,4900.0,1862.0,2014-11-01
Government,Mexico,Montana,1362.0,3,350,476700,438564.0,354120.0,84444.0,2014-12-01
Midmarket,France,Montana,2501.0,5,15,37515,34513.8,25010.0,9503.800000000003,2014-03-01
Government,Canada,Montana,708.0,5,20,14160,13027.2,7080.0,5947.200000000001,2014-06-01
Government,Germany,Montana,645.0,5,20,12900,11868.0,6450.0,5418.0,2014-07-01
Small Business,France,Montana,1562.0,5,300,468600,431112.0,390500.0,40612.0,2014-08-01
