Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,United States of America,Amarilla,2071.0,260,350,724850.0,659613.5,538460,121153.5,2014-09-01
Government,Canada,Amarilla,1269.0,260,350,444150.0,404176.5,329940,74236.5,2014-10-01
Midmarket,Germany,Amarilla,970.0,260,15,14550.0,13240.5,9700,3540.5,2013-11-01
Government,Mexico,Carretera,1694.0,260,20,33880.0,30830.8,16940,13890.8,2014-11-01
Government,Germany,Carretera,663.0,3,20,13260.0,12066.6,6630,5436.6,2014-05-01
Government,Canada,Carretera,819.0,3,7,5733.0,5217.03,4095,1122.03,2014-07-01
Channel Partners,Germany,Carretera,1580.0,3,12,18960.0,17253.6,4740,12513.599999999999,2014-09-01
Government,Mexico,Paseo,521.0,3,7,3647.0,3318.77,2605,713.77,2014-12-01
Government,United States of America,Paseo,973.0,10,20,19460.0,17708.6,9730,7978.5999999999985,2014-03-01
Government,Mexico,Paseo,1038.0,10,20,20760.0,18891.6,10380,8511.599999999999,2014-06-01
Government,Germany,Velo,360.0,10,7,2520.0,2293.2,1800,493.1999999999998,2014-10-01
Channel Partners,France,Velo,1967.0,120,12,23604.0,21479.64,5901,15578.64,2014-03-01
Midmarket,Mexico,VTT,2628.0,120,15,39420.0,35872.2,26280,9592.199999999997,2014-04-01
Government,Germany,VTT,360.0,250,7,2520.0,2293.2,1800,493.1999999999998,2014-10-01
Government,France,VTT,2682.0,250,20,53640.0,48812.4,26820,21992.4,2013-11-01
Government,Mexico,Amarilla,521.0,250,7,3647.0,3318.77,2605,713.77,2014-12-01
Government,Mexico,Amarilla,1038.0,260,20,20760.0,18891.6,10380,8511.599999999999,2014-06-01
Midmarket,Canada,Amarilla,1630.5,260,15,24457.5,22256.324999999997,16305,5951.324999999999,2014-07-01
Channel Partners,France,Carretera,306.0,260,12,3672.0,3341.52,918,2423.52,2013-12-01
Channel Partners,United States of America,Montana,386.0,3,12,4632.0,4168.8,1158,3010.8,2013-10-01
Government,United States of America,Paseo,2328.0,5,7,16296.0,14666.4,11640,3026.3999999999996,2014-09-01
Channel Partners,United States of America,Carretera,386.0,10,12,4632.0,4168.8,1158,3010.8,2013-10-01
Enterprise,United States of America,Carretera,3445.5,3,125,430687.5,387618.75,413460,-25841.25,2014-04-01
Enterprise,France,Montana,1482.0,3,125,185250.0,166725.0,177840,-11115.0,2013-12-01
Government,United States of America,Montana,2313.0,5,350,809550.0,728595.0,601380,127215.0,2014-05-01
Enterprise,United States of America,Montana,1804.0,5,125,225500.0,202950.0,216480,-13530.0,2013-11-01
Midmarket,France,Paseo,2072.0,5,15,31080.0,27972.0,20720,7252.0,2014-12-01
Government,France,Paseo,1954.0,10,20,39080.0,35172.0,19540,15632.0,2014-03-01
Small Business,Mexico,Paseo,591.0,10,300,177300.0,159570.0,147750,11820.0,2014-05-01
Midmarket,France,Paseo,2167.0,10,15,32505.0,29254.5,21670,7584.5,2013-10-01
Government,Germany,Velo,241.0,10,20,4820.0,4338.0,2410,1928.0,2014-10-01
Midmarket,Germany,Velo,681.0,120,15,10215.0,9193.5,6810,2383.5,2014-01-01
Midmarket,Germany,Velo,510.0,120,15,7650.0,6885.0,5100,1785.0,2014-04-01
